,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
12138,Sabki Bajegi Band,-2015.0,108,"Comedy, Drama",3.5,68,Anirudh Chawla,Swara Bhaskar,Shaurya Chauhan,Jhanvi Desai,Anirudh Chawla Swara Bhaskar Shaurya Chauhan Jhanvi Desai
12139,Saboot,-1980.0,132,"Mystery, Thriller",6.5,80,Shyam Ramsay,Tulsi Ramsay,Navin Nischol,Vidya Sinha,Shyam Ramsay Tulsi Ramsay Navin Nischol Vidya Sinha
12140,Saboot Mangta Hain Kanoon,-1994.0,144,"Action, Drama",3.4,8,Suraj Prakash,Raj Babbar,Anita Raj,Shashi Kapoor,Suraj Prakash Raj Babbar Anita Raj Shashi Kapoor
12141,Sabrang,-2017.0,54,Drama,6.9,8,Bharti Niranjan,Sonia Albizuri,Ekaansh Bhaardwaaj,Jeet Raidutt,Bharti Niranjan Sonia Albizuri Ekaansh Bhaardwaaj Jeet Raidutt
12142,Sabse Bada Be-Imaan,-2000.0,0,Action,4.6,9,Imran Khalid,Arjun,Manek Bedi,Laxmikant Berde,Imran Khalid Arjun Manek Bedi Laxmikant Berde
12143,Sabse Bada Joker,-2000.0,0,Drama,6.0,,Dileep,Manya,Nishanth Sagar,,Dileep Manya Nishanth Sagar 
12144,Sabse Bada Khiladi,-1995.0,162,"Action, Crime, Thriller",6.0,"4,363",Umesh Mehra,Akshay Kumar,Mamta Kulkarni,Mohnish Bahl,Umesh Mehra Akshay Kumar Mamta Kulkarni Mohnish Bahl
12145,Sabse Bada Paap,-1984.0,0,Drama,6.0,,,,,,   
12146,Sabse Bada Rupaiya,-1955.0,0,,6.0,,P.L. Santoshi,Shashikala,Agha,Sunder,P.L. Santoshi Shashikala Agha Sunder
12147,Sabse Bada Rupaiya,-1976.0,135,Comedy,6.8,42,S. Ramanathan,Mehmood,Vinod Mehra,Moushumi Chatterjee,S. Ramanathan Mehmood Vinod Mehra Moushumi Chatterjee
12148,Sabse Bada Sukh,-1972.0,0,"Comedy, Drama",6.1,15,Hrishikesh Mukherjee,Vijay Arora,Asrani,Rajni Bala,Hrishikesh Mukherjee Vijay Arora Asrani Rajni Bala
12149,Sabse Badhkar Hum,-2002.0,0,Action,2.6,19,K. Ravi Shankar,Manek Bedi,Mithun Chakraborty,Gajendra Chauhan,K. Ravi Shankar Manek Bedi Mithun Chakraborty Gajendra Chauhan
12150,Sabse Badi Ganga Ki Saugandh,-2003.0,114,Action,2.9,7,K.I. Sheikh,Hemant Birje,Dharmendra,Gautam,K.I. Sheikh Hemant Birje Dharmendra Gautam
12151,Sabuj Dwiper Raja,-1979.0,109,"Adventure, Drama, Family",7.5,76,Tapan Sinha,Samit Bhanja,Arunava Adhikari,Lily Chakravarty,Tapan Sinha Samit Bhanja Arunava Adhikari Lily Chakravarty
12152,Sabz Baag,-1951.0,0,,6.0,,Chand Burke,Suraiya Chowdhary,Kamal Kapoor,Nimmi,Chand Burke Suraiya Chowdhary Kamal Kapoor Nimmi
12153,Sach,-1989.0,0,Drama,5.9,10,Vinod Pande,Anuradha Sawant,Vinod Pande,Hashmat Khan,Vinod Pande Anuradha Sawant Vinod Pande Hashmat Khan
12154,Sach Hai,-1939.0,157,,6.0,,R.S. Choudhury,Motilal,Rose,Shakir,R.S. Choudhury Motilal Rose Shakir
12155,Sachaa Jhutha,-1970.0,143,"Action, Comedy, Thriller",6.7,256,Manmohan Desai,Rajesh Khanna,Mumtaz,Vinod Khanna,Manmohan Desai Rajesh Khanna Mumtaz Vinod Khanna
12156,Sachaai,-1969.0,160,"Drama, Comedy, Action",7.3,59,K. Shankar,Shammi Kapoor,Sadhana,Sanjeev Kumar,K. Shankar Shammi Kapoor Sadhana Sanjeev Kumar
12157,Sachai Ki Taqat,-1989.0,135,"Action, Drama",4.5,39,Rama Rao Tatineni,Bob Christo,Dharmendra,Govinda,Rama Rao Tatineni Bob Christo Dharmendra Govinda
12158,Sachcha Pyaar,-1950.0,0,,6.0,,Niranjan,Manorama,,,Niranjan Manorama  
12159,Sachcha Pyar,-1992.0,0,Romance,6.0,,Poornachandra Rao Atluri,,,,Poornachandra Rao Atluri   
12160,Sachcha Sapna,-1942.0,0,,6.0,,K. Narayan Kale,,,,K. Narayan Kale   
12161,Sachche Ka Bol Bala,-1958.0,0,"Adventure, Drama",6.0,,Master Bhagwan,Master Bhagwan,Chandrashekhar,Shyam Kumar,Master Bhagwan Master Bhagwan Chandrashekhar Shyam Kumar
12162,Sachche Ka Bol-Bala,-1989.0,0,"Action, Adventure",5.7,42,Dev Anand,Dev Anand,Jackie Shroff,Meenakshi Sheshadri,Dev Anand Dev Anand Jackie Shroff Meenakshi Sheshadri
12163,Sachche Moti,-1962.0,0,Drama,6.0,,Madhu Apte,Helen,Jeevan,Manmohan Krishna,Madhu Apte Helen Jeevan Manmohan Krishna
